timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422488762,113,85,3350900,47717863,2,3040695,120290,7275900,177446,1959081,766929,96446,294059,1070920,1058682,96707,954895,882915,46494028,0,11,34106,443,61031444,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8123,1160.301,1650.407,74.6,0,16,0,2,279464,9537508,22521148,0,0,4,195312496,0,0,643.53,12390.68,0,0,0,0,10.91,87.26,99.74,0,0,0,0.13,0.04,0.09,556
1422488764,114,112,13912006,69364161,3,1640173,114575,2115878,217481,9669318,1292461,220407,747402,443265,660668,89865,745162,793709,8371112,545,13,626,0,29455326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8012,1160.301,1650.407,74.6,0,8,0,2,279464,9537504,22521380,0,0,4,195312496,0,0,2404.89,13517.85,0,0,0,0,20.54,92.91,99.89,0,0,0,0.09,0.02,0,603
1422488766,123,310,65444839,183991890,3,8395376,512376,38866925,1491256,92325158,3511430,3076880,9156447,1866280,6887575,1529785,9733390,3029917,37925163,31318,1142,1706900,11783,246538375,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57144,1160.301,1650.407,74.6,0,16.89,0,9,279468,9537080,22521480,0,0,28,195312496,0,0,312018.94,32429.5,0,0,0,0,270.05,330.84,99.46,0,0,0,0.12,0.25,0.17,990
1422488768,142,609,674281702,944887097,80,117867912,4079821,332534911,8858983,650377187,6918474,4115232,11793092,2330108,13206721,2287003,6012634,1512971,26594827,58006,894,3502284,130930,5503885748,18.5,1,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,3,0,2,0,8419,1160.301,1650.407,74.6,0,12,0,2,279468,9537184,22515032,0,0,4,195312496,0,0,857804.69,74099.7,0,0,0,0,780.58,830.42,99.33,0,0,0.02,0.2,0.4,0.04,1902
1422488770,120,613,674281702,944887097,80,117867912,4079821,332534911,8858983,650377187,6918474,4115232,11793092,2330108,13206721,2287003,6012634,1512971,26594827,58006,894,3502284,130930,5503885748,0.8,3,0.8,30,0,100,0,0,0,9.9,0,0,100,100,1.3,0,5,2,2,715726,21062806,1160.3,1650.407,74.6,6.61,136.82,175,170,279468,9069516,22992636,0,351,12339,195312496,0,0,19583.63,16145.78,0,0,0,0,51.42,124.81,88.87,0,0,0,0.44,1.31,9.38,1151
1422488772,118,1304,674281702,944887097,80,117867912,4079821,332534911,8858983,650377187,6918474,4115232,11793092,2330108,13206721,2287003,6012634,1512971,26594827,58006,894,3502284,130930,5503885748,67.8,0,0,100,0,100,0,0,37.6,0,0,0,60.6,100,0,0,4,1,2,1325116,2327133,1160.3,1650.407,74.6,6.16,2167.79,324,19,279472,9070640,22993616,0,647,26,195312496,0,0,20969.54,31546.68,0,0,0,0,118.82,162.76,72.24,0,0,0.04,0.47,0.43,26.82,1383
1422488774,118,743,18837371,171960862,9,1411866,286146,9252149,1091688,14121946,3830815,910084,2778645,2845621,4057257,225421,1955976,2610287,11754011,991,1745,187897,5372,150882143,0,0,0,0,0.7,41.4,0,0,0,0,0,0,96.3,77.9,0,0,4,0,2,1267858,1926327,1160.3,1650.407,74.6,6.46,3672.42,310,19,279476,9071520,22994780,0,619,2,195312496,0,0,530.2,5451.82,0,0,0,0,8.99,41.94,67.32,0,0,0,0.04,0,32.64,561
1422488776,118,648,18837371,171960862,9,1411866,286146,9252149,1091688,14121946,3830815,910084,2778645,2845621,4057257,225421,1955976,2610287,11754011,991,1745,187897,5372,150882143,46.7,10.9,0,0,0,1,0,0,14,5.9,0,0,65.6,0,0,0,2,2,2,1284218,28629,1160.3,1650.407,74.6,6.36,2612,314,6,279484,9072960,22993836,0,627,8,195312496,0,0,2322.52,6606.09,0,0,0,0,16.48,45.93,89.11,0,0,0.03,0.06,0,10.79,939
1422488778,120,691,28907842,616224581,1,6253674,1346083,33048965,2096213,74501111,4750781,1692876,3900868,3003424,4100687,34089,416820,1137506,3674701,1022,420,8660,5147,103227226,100,30.3,0,0,0,0,0,0,1.8,0.9,0,0,0,22.5,0,0,3,1,2,1460082,8180,1160.3,1650.407,74.6,5.6,152,356,2,279484,9074440,22994132,0,713,4,195312496,0,0,1702.45,13092.36,0,0,0,0,10.98,85.87,91.13,0,0,0,0.12,0.04,8.71,1139
1422488780,118,864,6278948,194257938,6,1893314,316699,9103465,1806498,36211837,4330284,1592399,4815527,3698166,4175619,245622,3431388,3388738,34668033,690,652,69800,7867,222612067,99,0.9,0.6,0,0,0.9,0,0,0,0,0,0,0,3,0,0,3,1,2,1402824,40899,1160.3,1650.407,74.6,5.84,186.4,342,5,279484,9075760,22993220,0,685,20,195312496,0,0,16202.7,24477.28,0,0,0,0,48.93,120.82,92.76,0,0,0,0.08,0.06,7.1,1237
