timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422369834,96.5,377,8384452,132402799.75,24.25,5825272,196244.75,14828244,767272.75,27053052,957859.75,1422564,1929592,743786,2012543,359262,873166,1150023,15156268.75,35.75,188589,139.75,3907,229489372.25,0.5,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,1,0,3,3,2,0,8176,1832.419,1859.505,49.22,0,15,0,2,250272,1502596,30528702,0,0,4,1951740,0,0,503.04,8453.685,0,0,0,0,3.745,56.135,99.83,0,0,0,0.12,0.04,0,998
1422369836,103,354.5,9339537.75,119306186.75,24.75,5107101,167296.25,13936988.25,659320.25,27622495.75,1004032,1612438.75,2218834,878536,2020178.75,375005,1085342.25,1077920,17211966.25,20,113371.75,109,990.75,194522134.25,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,1,0,0.5,0,0,0,1,0,2,4,2,0,22476,1832.419,1859.505,49.22,0,14.5,0,3,250272,1502596,30528620,0,0,11,1951740,0,0,622.245,8772.14,0,0,0,0,5.49,58.13,99.81,0,0,0,0.135,0.02,0.03,968.5
1422369838,106,362.5,29178195.25,193527201.75,33.25,11024904.75,445288.25,29856380.75,2377205.75,59243576.25,2225304.25,2611359.75,4808703,1197378,1756390.25,1178682.25,1250062.75,581381,56071497.25,38,302120,144,28.75,179162184.75,0.5,0,0,1.5,0.5,0,0.5,0,0,0.5,1.5,0,1,0,0,0.5,0.5,0,0.5,0,0,1,0.5,0,0,6,2,0,22472,1832.419,1859.505,49.22,0,11.5,0,3,250272,1502592,30529036,0,0,11,1951740,0,0,622.195,8768.08,0,0,0,0,5.49,58.105,99.8,0,0,0,0.15,0.02,0.03,979.5
1422369840,99.5,529,32316441,197503822.75,34,10762532.75,448714,28664410,2504521,60698243,2377692.25,2666891,4691854,1042864,1926598,1187432,1445215.75,848442.25,61313388,62.25,509948.75,236,721.75,258107935.75,1,0,0,2,1,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,2,0,0,1,4,2,10214.5,8172,1825.612,1859.505,49.22,7,11,1,2,250272,1502598,30525300,0,5,4,1951740,0,0,250.125,8299.25,0,0,0,0,2.245,55.115,99.645,0,0,0,0.2,0.135,0.02,1192
1422369842,93.5,528,12230952,112090444,27.75,4388631.25,155103.75,12613666,1301178.25,40197484,1073608.25,1514623.75,1542631.75,642304,741631.25,403554.75,1471984,664693,40326211.25,42.75,361086.25,1315.75,936,239015740,1,0,0,1,0.5,0,0.5,0,0,0.5,1.5,0,0.5,0,0,1,1,0,0,0,0,2,0,0,2,4,2,10214.5,40858,1818.805,1859.505,49.22,7,11.4,1,3.5,250272,1502618,30521488,0,5,20,1951740,0,0,555.615,8547.38,0,0,0,0,2.99,56.36,99.625,0,0,0,0.185,0.145,0.04,1199.5
1422369844,94,375.5,7653844,112355537.75,27,3605447.25,134632.25,11389141,2131192,47343617,1400159.25,1827082.75,1852310,1038732.75,871116.75,546884,1507736,295126,47243707,19,238240,2366,476,156127742,0.5,0,0,0.5,0.5,0,1,0,0,0,1,0,0.5,0,0,0.5,1.5,0,0,0,0,1.5,0,0,3,3,2,0,77630,1818.805,1859.505,49.22,0,33.6,0,12.5,250272,1502630,30521834,0,0,38,1951740,0,0,470.075,8452.62,0,0,0,0,3.24,56.11,99.78,0,0,0,0.135,0.06,0.02,1015.5
1422369846,94.5,354.5,8290897.25,113903044.25,25.25,3237853.25,126972,9856788,1548984,46992006,1242590,1535984.25,2224780,1039438,2631595,713875,1296127.75,281850.25,41528408.75,37,180269,1239.25,372,124170969,0.5,0,0,0.5,0.5,0,2,0,0,0,1.5,0,0.5,0,0,1,1,0,0,0,0,0.5,0,0,3,3,2,0,43065,1818.805,1859.505,49.22,0,31.2,0,10.5,250272,1502630,30521936,0,0,21,1951740,0,0,627.335,8055.3,0,0,0,0,5.245,53.255,99.825,0,0,0,0.12,0.055,0,817
1422369848,95,348,7446929,99280044.25,25,2906032.25,100525,8754779.75,974946.75,47870773,938035,1375352.75,2154340.75,652893,2753483.25,600431.25,1683713,436602.25,35104217,44.75,68916,149.75,1560,170061951,0.5,0,0,0,0.5,0,1,0,0,0,1,0,0.5,0,0,1,1,0,0,0,0,0.5,0,0,2,3,2,0,20556.5,1818.805,1859.505,49.22,0,12.5,0,2.5,250272,1502632,30521940,0,0,10,1951740,0,0,676.385,8094.35,0,0,0,0,5.99,53.945,99.805,0,0,0,0.105,0.045,0.04,949.5
1422369850,94.5,379,7001517,104227773,26,2698451.25,120888.75,9316785.75,1393465,43196702,1374241,1741789.75,2635715,645953.25,6546290,318959.25,1488118.25,541585,29686899,33,82463.75,146.25,2312,184753869.25,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,4,2,2,0,22638.5,1818.805,1859.505,49.22,0,11.5,0,3,250272,1502632,30521780,0,0,11,1951740,0,0,216.09,8445.865,0,0,0,0,3.275,56.89,99.77,0,0,0,0.135,0.05,0.04,1318
1422369852,94.5,379.5,5708111,109315463.75,26,2957529.75,114329.75,8010018.75,1267032,41965779,1305907.75,1448659,2686316.75,773836,6339523,253013,819154,492254,20531270.25,37.75,209825.25,2576,921,189442751.75,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,1,0,0,0,0,0.5,0,0,4,1,2,0,8258,1818.805,1859.505,49.22,0,14,0,2,250272,1502628,30521962,0,0,4,1951740,0,0,507.015,8534.93,0,0,0,0,3.935,56.855,99.79,0,0,0,0.135,0.06,0.01,1377.5
