timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422275604,93,1387,9131285,123264226,24,4217833,124998,9841782,493769,25171097,615808,666946,1047688,430171,635103,527861,1036495,310514,50577477,464,126715,5042,552,114950925,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,8083,1833.51,1859.505,46.84,0,12,0,2,206688,284044,31944900,0,0,4,1951740,0,0,8249.63,13737.05,0,0,0,0,24.17,78.93,99.54,0,0,0,0.21,0.25,0,2059
1422275606,105,593,3929774,94867498,25,2243471,101485,9469002,1593806,36661052,1844771,984242,1652268,614496,462246,490004,1630991,886988,37188854,1052,232820,4215,2379,205846194,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,8051,1833.51,1859.505,46.84,0,16,0,2,206688,284048,31944804,0,0,4,1951740,0,0,129.73,8052.09,0,0,0,0,1.97,53.56,99.83,0,0,0,0.1,0.04,0.02,1282
1422275608,104,655,11980359,123818712,24,1878186,69473,5223159,487780,13004774,772736,940216,1540960,914435,4268378,238141,1169427,707879,22463687,310,208314,1503,2382,165196810,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,40514,1833.51,1859.505,46.84,0,11.2,0,5,206688,284040,31946976,0,0,20,1951740,0,0,907.52,9121.66,0,0,0,0,5.93,58.85,99.75,0,0,0,0.12,0.08,0.04,1341
1422275610,102,848,71568390,228655387,35,10097457,194032,12748176,881693,19946535,936221,1637310,2303890,765342,1066980,360861,1182887,1167716,90566591,410,187406,8127,2346,701565613,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,4,1,2,0,8794,1833.51,1859.505,46.84,0,12,0,2,206688,284052,31947640,0,0,4,1951740,0,0,2645.2,54219.54,0,0,0,0,22.54,103.6,99.69,0,0,0,0.27,0.04,0,1673
1422275612,94,471,7829417,123847690,26,2376054,74019,6163472,401184,13283947,518144,668563,1185765,425124,1480134,349633,1405897,1040835,61231788,455,604645,5470,1862,240659211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8172,1833.51,1859.505,46.84,0,16,0,2,206688,284184,31948292,0,0,4,1951740,0,0,855.86,135716.7,0,0,0,0,12.97,137.66,99.85,0,0,0,0.1,0.04,0,1250
1422275614,94,476,7199239,127890727,25,4647468,130930,9517814,603660,24003407,551115,598406,1198313,466420,782896,280634,1739303,417981,43345011,593,31343,6611,7354,170300476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102145,1833.51,1859.505,46.84,0,18.22,0,9,206688,284192,31948332,0,0,50,1951740,0,0,1086.28,148000,0,0,0,0,16.46,148.63,99.79,0,0,0,0.12,0.04,0.04,1518
1422275616,96,641,12848809,126236470,26,3471708,132654,10798789,790589,34378303,1836966,1344373,1396355,522418,2680455,82030,941770,928300,16592889,105,247975,439,4216,305534231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,8172,1833.51,1859.505,46.84,0,16,0,2,206688,284180,31948448,0,0,4,1951740,0,0,1768.58,150191.53,0,0,0,0,21.45,152.12,99.81,0,0,0,0.15,0.04,0,1578
1422275618,98,407,5496156,109061796,24,2258429,119223,10137378,795654,19234468,754963,1321950,2773799,641523,621033,321735,892910,652572,17668904,29,88352,186,1666,216388622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8547,1833.51,1859.505,46.84,0,16,0,2,206688,284184,31950460,0,0,4,1951740,0,0,1939.49,158070.95,0,0,0,0,23.47,163.28,99.83,0,0,0,0.12,0.04,0,1356
1422275620,107,399,9480527,135622062,27,3649933,110947,10513861,724153,29587612,1214757,1554094,2811686,666533,806970,353487,725514,948294,15575460,52,13386,253,382,395358071,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12154,1833.51,1859.505,46.84,0,14.67,0,3,206688,284180,31950616,0,0,6,1951740,0,0,1638.48,147518.3,0,0,0,0,17.31,146.39,99.82,0,0,0,0.12,0.07,0,1297
1422275622,105,437,4667519,126427884,26,4369191,135078,10963069,494697,21522467,1226459,1657717,2687292,603605,471871,222341,1004062,403715,36247545,65,146586,198,470,133380500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44692,1833.51,1859.505,46.84,0,10,0,4,206688,284176,31950800,0,0,22,1951740,0,0,1568.47,112836.33,0,0,0,0,15.28,132.02,99.77,0,0,0,0.12,0.06,0.04,1396
1422275624,99,398,3655262,125265383,25,5344118,145597,12081386,737036,29023046,640501,957318,2122124,524468,732655,409049,674605,459724,12977630,32,9052,118,1743,109461154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12029,1833.51,1859.505,46.84,0,12,0,3,206688,284180,31951760,0,0,6,1951740,0,0,1066.08,147369.55,0,0,0,0,16.15,145.86,99.81,0,0,0,0.12,0.06,0,1255
