timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,cache-misses,L1-icache-load-misses,L1-dcache-load-misses,L1-dcache-store-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,SIMD_FP_256_PACKED_SINGLE,SIMD_FP_256_PACKED_DOUBLE,FP_COMP_OPS_EXE_X87,FP_COMP_OPS_EXE_SSE_FP_PACKED_DOUBLE,FP_COMP_OPS_EXE_SSE_FP_SCALAR_SINGLE,FP_COMP_OPS_EXE_SSE_PACKED_SINGLE,FP_COMP_OPS_EXE_SSE_SCALAR_DOUBLE,L2_RQSTS_ALL_CODE_RD,L2_RQSTS_CODE_RD_HIT,L2_RQSTS_CODE_RD_MISS,UOPS_RETIRED_ALL,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_24,Core_25,Core_26,Core_27,Core_28,Core_29,Core_30,Core_31,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422006910,113.1844,543.8,500172695.2,2534516047,12.78,98156503.18,1727865.04,2312822,4267084.22,2716583.22,219418.68,2189210.68,946761.02,1479637.96,1353124.18,0,0,164080.16,0,0,0,2175,5289895,2311626.14,2851670.24,968360820.5,0,0,0,0,0,0.4,0,0,0,0,100,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,10471.2,401.3808,428.862,9.22,0,6.242,0,1,3947.2,528301.6,129376444.8,0,0,5.2,31249404,0,0,295.14,2545.546,0,0,0,0,1.68,16.914,96.79,0,0,0,3.174,0.02,0.02,8599.4
1422006920,113.4996,543.8,497099639.4,2536030157,12.76,98554250.14,1739605.82,2303846.78,4279464.84,2732599,225630,2214167.12,942896.22,1473861.66,1358648,0,0,157797.46,0,0,0,2284.78,5243218.72,2369796.66,2862558.74,969458168.8,0,0,0,0,0,0.6,0,0,0,0,100,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,23724.4,403.191,428.862,9.22,0,4.46,0,1.8,3960,528299.2,129379868.8,0,0,11.2,31249404,0,0,297.242,2548.224,0,0,0,0,1.72,16.94,96.79,0,0,0,3.176,0.02,0.02,8600
1422006930,112.7324,542.4,506745693.5,2540630961,13,100513429.5,1770622.98,2300084,4383904.02,2778128.04,236020,2254099,938424.18,1474635.58,1359346,0,0,175948.58,0,0.24,0,2630.74,5384581.12,2414330.62,2878416.68,983975302.4,0,0,0,0,0,0,0,0,0,0,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,30432.2,403.191,428.862,9.22,0,2.85,0,2.2,3975.2,528298.4,129380236.8,0,0,14.8,31249404,0,0,339.478,2611.48,0,0,0,0,1.96,17.28,96.794,0,0,0,3.17,0.02,0.016,8602.4
1422006940,112.7512,553.8,535802148.7,2629387065,12.72,107101011,1771060.16,2297701.64,4376684.62,2732594.18,221764.06,2196944.48,936025.86,1472083.76,1355117.64,0,0,195087.56,0,0.36,0,2882.66,5371380.84,2412013.32,2878432.82,1080013664,0,0,0.4,0,0,0,0,0,0,0,100,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2944.4,56763.6,396.587,428.862,9.532,3.024,4.544,0.8,1,4223.2,528759.2,129376761.6,0,1.6,28,31249404,0,0,388.102,2674.612,0,0,0,0,2.34,17.756,96.772,0,0,0,3.178,0.028,0.022,8608.8
1422006950,112.4698,1019.2,568104583.8,2699060672,44,113866966.1,2042957.78,2331500.34,4917259,3130052.34,322036.08,2439227,955379.44,1492497.06,1357772.42,0,0,193144.98,0,0,0,2645.58,6084505.18,2922158.16,3138027,1153259884,0,0,0.6,0,0,0,1.2,0,0,0,60,0.4,0.6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4416.6,138084.2,386.681,428.862,10,4.536,7.02,1.2,2.6,4591.2,529436,129371648,0,2.4,67.6,31249404,0,0,733.216,3059.08,0,0,0,0,3.336,18.97,96.666,0,0,0,3.194,0.096,0.04,8705
1422006960,112.7216,1235,550979270.8,2589132668,62.22,108922227,2224405.58,2362039.26,5305230.26,3428828,384797.52,2595148,973315.58,1528082.82,1374414.52,0,0,208216.62,0,0,0,2910.64,6560915.14,3179875.96,3311248.04,1046462964,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,96536.8,386.681,428.862,10,0,4.972,0,4.2,4599.2,529437.6,129371116.8,0,0,47.4,31249404,0,0,937.574,3262.704,0,0,0,0,3.83,19.502,96.654,0,0,0,3.184,0.124,0.028,8745.8
1422006970,113.4322,544,509353304,2541345018,12.88,101253480,1746333.04,2278289.26,4362065.58,2776596.54,224323.12,2202730,930877.28,1446717.96,1346563.92,0,0,146753.66,0,0,0,2356.56,5104278.44,2383373.42,2894250.64,990651259,40,0,0,0,0,0,1.8,0,0,0,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,15022,386.681,428.862,10,0,2.752,0,2.2,4610.4,529436.8,129370761.6,0,0,7.4,31249404,0,0,347.792,2547.738,0,0,0,0,1.71,17.022,96.78,0,0,0,3.164,0.036,0.014,8592.4
1422006980,114.148,535.2,536063669,2640738643,12.82,107337124,1720012.42,2274734.62,4307086.12,2747314.28,235423,2209665.72,927435.16,1452893.02,1342204.52,0,0,146285.54,0,0.24,0,3079.26,5156545,2290342,2865180,1071773370,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,9622.6,386.681,428.862,10,0,4.742,0,1,4623.2,529433.6,129371411.2,0,0,4.6,31249404,0,0,290.064,2532.546,0,0,0,0,1.59,16.826,96.784,0,0,0,3.166,0.03,0.016,8574.2
1422006990,113.888,537.4,533094824.8,2662626451,13,107301079.8,1735346.48,2274671.54,4269276.34,2702847,226561,2206660.86,931280.92,1456473.88,1340697.82,0,0,149600.02,0,0.36,0,3104.06,5165277.78,2286195.08,2851673.36,1088230677,73.72,0,0,0,0,0,0,0,26.4,0,0,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,11089.2,386.681,428.862,10,0,4.28,0,1.4,4631.2,529436,129371022.4,0,0,5.6,31249404,0,0,338.328,2602.438,0,0,0,0,1.95,17.22,96.782,0,0,0,3.164,0.034,0.014,8569.6
1422007000,113.125,543.4,506379282.9,2538085473,14.14,99983611,1739906.22,2290032,4248018,2668530.68,215836.26,2207334.74,935873.84,1448128.38,1339130.92,0,0,152853.22,0,0,0,2583.92,5122763,2301219.78,2838931,986676222.2,20.58,0,26.68,0,0,0,0,0,39.6,13.2,0,1.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,12233.4,386.681,428.862,10,0,3.52,0,1.6,4639.2,529436,129371593.6,0,0,6.4,31249404,0,0,362.558,2638.11,0,0,0,0,2.13,17.424,96.754,0,0,0,3.166,0.044,0.036,8510.8
1422007010,113.5046,538.4,541843974.8,2575727273,44.06,107540927.5,2068053.52,2333059.06,4934412.16,3112316.38,330408.72,2497060.62,966177.96,1510456.48,1361042.48,0,0,193233,0,0,0,2622,5870241.34,2854554.82,3148594.58,1042622328,0,0,40.42,0,0,0,0.8,0,0,20.2,0,0,41.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,7341,386.681,428.862,10,0,4.4,0,1,4647.2,529434.4,129371513.6,0,0,4,31249404,0,0,290.12,2532.816,0,0,0,0,1.59,16.83,96.75,0,0,0,3.164,0.046,0.04,8473.6
1422007020,113.4432,968.6,558433132.6,2604029390,59,110490545.2,2232416.34,2357789.64,5320377.12,3406090.02,398850,2635445,974618.28,1534386,1368700.48,0,0,208535.76,0,0.24,0,2350,6290463,3164837.18,3300458.76,1063591309,0,0,34.2,0.4,0,0,1.2,0,0,1,0,0,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,11583.4,386.681,428.862,10,0,3.8,0,1.4,4655.2,529438.4,129370648,0,0,6,31249404,0,0,736.948,3021.322,0,0,0,0,3.186,18.702,96.704,0,0,0,3.186,0.1,0.01,8660.6
1422007030,112.645,1184.6,512031408.3,2562565278,12.84,100961489,1740507.06,2289838,4284560,2738836.04,215719,2186504.84,930046,1447163.46,1337407.54,0,0,149893.24,0,0.36,0,2872.76,5230847,2370749.06,2869170.72,993587046,0,0,50.4,40.6,0,0,0,0,0,1,0,0,0,10,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,15335.8,386.681,428.862,10,0,3.028,0,1.6,4666.4,529441.6,129370694.4,0,0,7.8,31249404,0,0,960.362,3265.302,0,0,0,0,3.984,19.638,96.666,0,0,0,3.19,0.13,0.014,8708.8
1422007040,113.1558,539.2,512236635.5,2547934715,12.84,101709244.4,1730932.16,2281170,4252715,2708059,214691.26,2181487.04,931424.68,1458925.82,1337546.42,0,0,150026,0,0,0,3260,5230867.38,2319232.72,2885209,1005864250,0,0,0,100,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,10114.6,386.681,428.862,10,0,4.742,0,1,4679.2,529432,129371798.4,0,0,5.2,31249404,0,0,290.144,2533.02,0,0,0,0,1.59,16.83,96.78,0,0,0,3.164,0.04,0.016,8573
1422007050,113.656,537,512238439.5,2534865012,12.78,101429741.4,1715854.86,2281447,4276164.44,2747259.92,236058.54,2192939.72,929920.14,1464583,1334187.58,0,0,151103.82,0,0,0,2383.52,5130094,2339809.56,2885799,997565823.6,0,0,0,100,0,0,0,0,0,1.4,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8792,386.681,428.862,10,0,4.332,0,1,4687.2,529432,129372124.8,0,0,4.4,31249404,0,0,335.656,2598.828,0,0,0,0,1.906,17.194,96.776,0,0,0,3.166,0.044,0.01,8554.8
