timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,FP_COMP_OPS_EXE_X87,FP_COMP_OPS_EXE_SSE2_INTEGER,FP_COMP_OPS_EXE_SSE_SINGLE_PRECISION,FP_COMP_OPS_EXE_SSE_FP_SCALAR,FP_COMP_OPS_EXE_SSE_FP_PACKED,FP_COMP_OPS_EXE_SSE_FP,FP_COMP_OPS_EXE_SSE_DOUBLE_PRECISION,FP_COMP_OPS_EXE_MMX,SSEX_UOPS_RETIRED_VECTOR_INTEGER,SSEX_UOPS_RETIRED_PACKED_DOUBLE,UOPS_RETIRED_ALL,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422548582,148.5,517.5,24705581.75,41731531.75,77.25,19045077.25,824766,82755315.25,4568581.25,82029243,2598668,27317391,55476.75,4742149,1687229,841282.25,561885,57314.75,208232,16,6806.75,0,1704,181.25,0,50076,0,60934882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10184,1355.191,1742.079,30.91,0,7.665,0,2.5,318860,10046754,13753760,0,0,5,97656168,0,0,13035.305,30938.835,0,0,0,0,74.59,178.52,99.755,0,0,0,0.135,0.1,0.01,1326
1422548584,148,608,50483094,68043433,77.25,108373574,2438688.75,178932424.25,7243185.75,100458384,3256279.25,54594954.25,77976.75,5095695,1879286.75,934698,685978.75,109186.25,283187.25,16.75,2770.25,0,6197.25,8542.75,0,477923,0,549698223.25,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,36630,1355.191,1742.079,30.91,0,7.4,0,3.5,318860,10046588,13756176,0,0,18,97656168,0,0,342003.835,56519.885,0,0,0,0,385.06,491.43,99.59,0,0,0.03,0.115,0.22,0.05,1578.5
1422548586,148,413.5,220567850.75,201477566.75,9.25,509094563.75,6975729.25,799920907.25,29011091.75,510885160.75,6782397.25,352864894.75,639673,8814848.25,4349145.75,1007610.75,635327,357229.25,211537,1,12225.75,0,92229.75,88178.75,0,1300575.75,961986,1905086018.75,45.1,0,1,0,0,0,4.95,0,0,0,0,0,0,2.75,0,0,0,0,0,0.45,0,0,0,0,5,0,2,0,36628,1355.191,1742.079,30.91,0,10.4,0,3.5,318860,10046748,13756484,0,0,18,97656168,0,0,666901.03,69135.56,0,0,0,0,648.695,758.765,99.085,0,0,0.03,0.13,0.7,0.06,1731
1422548588,148,537,193450350.75,179563076.25,9,420321214,5368873,704390165,26464353.25,483782217,6363805,328627756,633161.25,8020113,3931266.75,907751.25,527818,379425.25,241998.75,6,18419,0,102745.75,92546.75,0,958540.75,961986,1468609961,40.6,0,0,0,0,0,54.95,0,0,0,0,0,0,3.25,0,0,0,0,0,0.45,0,0,0,0,4,0,2,567702,16280,1355.191,1742.079,30.91,3.045,71.6,138.5,3.5,318860,10056064,13747080,0,278,8,97656168,0,0,338523.97,44051.605,0,0,0,0,343.185,452.255,97.33,0,0,0,0.125,0.7,1.845,1672.5
1422548590,148,649,6998730.75,17671196,5,2716804.25,42653.25,4752655,494024,31935417.75,956147,10348048.25,53129.75,963613,498539,191876.25,50842.25,175963,212428,11,16641,0,30017,25459,0,192644,0,123078506,11,0,0.5,0,0,0,100,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0,2,1249351.5,48834.5,1355.191,1742.079,30.91,6.035,87.935,305,5.5,318860,10065504,13737704,0,611,24,97656168,0,0,2205.165,17272.725,0,0,0,0,17.885,116.74,95.445,0,0,0,0.055,0.145,4.35,1544
1422548592,148,643.5,6437742.75,16342108.25,5.75,2691647.25,50011.75,6598317,511644,58113629,1036584.25,19187161.75,53540,1408961,716343.25,254536.75,95031.75,177327.75,202969,5.75,13241,0,20719,20608,0,148173,0,183568877.25,11,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1400887.5,40689.5,1355.191,1742.079,30.91,5.81,30.335,342,4,318860,10066876,13735998,0,684,20,97656168,0,0,631.585,16067.61,0,0,0,0,7.94,107.22,95.245,0,0,0,0.03,0.01,4.71,1540.5
1422548594,148,642,7310805,18279727.75,5.25,2566559,61124.25,6985435.25,531976,50712001.75,1154753.25,16671854,36753,1129559.75,570620,227905.75,138851,140641.25,144319,0,7241.75,0,11222.25,11946,0,60074.25,0,259373606.25,0,0,0.5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1438751.5,8083,1355.191,1742.079,30.91,5.625,37,351,2,318860,10068518,13735554,0,702.5,4,97656168,0,0,484.055,15875.005,0,0,0,0,6.905,106.07,95.805,0,0,0,0.03,0.02,4.15,1525.5
1422548596,148.5,653,8074771.25,18621758,6.25,3269275,77572.75,6633402.25,516206,16504557,788233.75,12666781,85739.25,1439408.75,648202.25,264045,130135,145983.25,109437,0,5674.75,0,17213,22575.75,0,115800,0,301209252,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1419907.5,24088,1355.191,1742.079,30.91,5.665,67,346.5,3,318862,10069720,13734674,0,693.5,12,97656168,0,0,779.93,15773.505,0,0,0,0,7.11,104.435,95.11,0,0,0,0.04,0.01,4.85,1479
1422548598,148.5,646,19533871.75,36323258,35,12326567.75,314318.25,25958939.25,1917778.25,38347121.25,899235.75,17709889,108898.75,1682821.25,951798.25,465752.25,543205.75,150584.75,165717.25,0,6113.25,0,14789.25,21736,0,219772.25,0,226877794.75,99.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.85,0,0.1,0,0,0,1.45,0.15,0.1,0,0,5,1,2,1407307.5,24166.5,1355.191,1742.079,30.91,5.735,44,343.5,3,318864,10070888,13732832,0,687,12,97656168,0,0,848.41,15993.835,0,0,0,0,8.175,106.46,94.255,0,0,0,0.045,0.015,5.695,1393
1422548600,148.5,786.5,31492572,55750330,64,20628489,539014,44332649,3306819,71436515,1416012,19225010,72395,1232371,951431,648330,969672,151410.75,335694,38.75,6201.75,0,8506,10709.75,0,422119.75,0,296993836,99.5,0,0,0,0,0,0,0.5,0,0,0,0,0,11.05,0,0.1,0,0,0,14.6,0.15,0.1,0,0,5,1,2,1343468,29061,1355.191,1742.079,30.91,6.15,311.275,328,6.5,318864,10072234,13729360,0,656,14,97656168,0,0,2949.505,18063.04,0,0,0,0,17.195,116.485,95.28,0,0,0,0.055,0.05,4.62,1477
