timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,FP_COMP_OPS_EXE_X87,FP_COMP_OPS_EXE_SSE2_INTEGER,FP_COMP_OPS_EXE_SSE_SINGLE_PRECISION,FP_COMP_OPS_EXE_SSE_FP_SCALAR,FP_COMP_OPS_EXE_SSE_FP_PACKED,FP_COMP_OPS_EXE_SSE_FP,FP_COMP_OPS_EXE_SSE_DOUBLE_PRECISION,FP_COMP_OPS_EXE_MMX,SSEX_UOPS_RETIRED_VECTOR_INTEGER,SSEX_UOPS_RETIRED_PACKED_DOUBLE,UOPS_RETIRED_ALL,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422879482,148,232.5,11371293,18208075,30,52014668.25,868416.75,81872132,3029463,17241577,306613,30910446.75,251291,2077834,741194.25,561057.75,388210,29268,77255,3,22,3,11.75,88,0,263243.75,0,196463377.75,1.65,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0,0,0,1,1.3,0,0,0,5,0,2,0,26493.5,1345.333,1742.079,32.04,0,16.8,0,3.5,398004,23467360,96040,0,0,13,97656176,0,0,1924.345,17020.12,0,0,0,0,13.685,111.97,99.835,0,0,0,0.065,0.025,0.07,1032.5
1422879484,148,186,13757419,19237466,29.75,53646682.75,850847,85694545.25,4820275.75,21514704.75,697554.25,31820241,229772.75,2125018,698874,428686,254593,28372,77573,3,197,3,6380,6831.75,0,236754.75,0,223210450.25,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,26526.5,1345.333,1742.079,32.04,0,10.8,0,3.5,398004,23467362,93580,0,0,13,97656176,0,0,1083.835,16501.845,0,0,0,0,9.465,109.4,99.855,0,0,0,0.045,0.04,0.055,1002
1422879486,148,416.5,64713703.75,91906399,81.75,78586706.75,1767919.75,203711007.25,11745833.25,62232858.75,1298108.75,27978347,245643.25,3819675,1044547.25,654173,326811.25,36739,103418,0.75,215.25,0,6493,6938,0,157482.25,0,346833032,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8198.5,1345.333,1742.079,32.04,0,9,0,2,398004,23467432,95878,0,0,4,97656176,0,0,11934.62,79991.1,0,0,0,0,85.335,209.37,99.76,0,0,0,0.115,0.095,0.03,1227
1422879488,148,439.5,62964007.25,94033464,81.25,73326063,1704394,194260417,9857327.75,62498630.25,1246558,27967629.75,249491.25,3802821,1013037,580785,331848.75,38611.75,107825,0,64,0,443.75,244,0,166946.25,0,318844135,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,34171.5,1345.333,1742.079,32.04,0,9.8,0,4,398004,23467500,97870,0,0,16.5,97656176,0,0,13531.685,209322.16,0,0,0,0,106.43,272.72,99.745,0,0,0,0.12,0.08,0.055,1336.5
1422879490,148,141.5,5384280.75,14235211.25,2,3950064.75,89027,13675008.25,832893.25,20292589.75,386028,3114305,24478,276061,100266.25,14206,10097.75,7311.75,16990.75,2.25,42.25,0,389.25,192.75,0,42102,0,27031874.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,54549.5,1345.333,1742.079,32.04,0,13.6,0,5.5,398006,23467498,98528,0,0,26.5,97656176,0,0,2869.05,284318,0,0,0,0,41.265,222.555,99.83,0,0,0,0.03,0.01,0.125,1012
1422879492,148,139.5,5945440.75,12668357,2.25,5697151.25,109058,18987909,917469,15313853,104100.75,2363601.25,40629.75,326102,132130,33779,23327.25,6106.25,14124.75,2.75,236,0,58,55,0,14980.25,0,35962449,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,28543.5,1345.333,1742.079,32.04,0,10.8,0,3.5,398008,23467498,99028,0,0,14,97656176,0,0,3732.205,262894.965,0,0,0,0,44.05,211.05,99.895,0,0,0,0.01,0.01,0.08,945
1422879494,148,142.5,6177716,10123566.75,2,5410250.75,73881.25,10171961,374533.75,3962116.75,217396,1042111,19999.25,233060,110464,35454.75,23558,14033.25,20066,0,2650.75,0,6280,6030,0,21439.75,0,305677282,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24466,1345.333,1742.079,32.04,0,12.8,0,3.5,398008,23467502,99324,0,0,12,97656176,0,0,3635.64,265843.715,0,0,0,0,43.8,213.04,99.92,0,0,0,0.01,0,0.07,950
1422879496,148,134,5645491,8455613.75,3,2531214,34801.25,4521784.25,132959.25,23414578,721476.25,5818841.25,0,320052,119298.25,30488,18329.75,97486.25,60153,0,11344.75,0,7410,6359.25,0,21789,0,317694587.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,28491.5,1345.333,1742.079,32.04,0,16.3,0,4.5,398008,23467504,99534,0,0,14,97656176,0,0,2341.31,299374.47,0,0,0,0,39.68,220.535,99.87,0,0,0,0.045,0,0.085,924
1422879498,148,91,2894053.75,7577418.25,3,1251341.75,23550.75,2709792,130010.125,17056173.625,657837.125,5106160.375,0,721620,312891.625,125721.25,66451.875,1132656,711490.75,0,12947,0,1161.875,696.375,0,3441.125,0,56006108.375,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10183.5,1345.333,1742.079,32.04,0,12.75,0,2.5,398008,23467504,99878,0,0,5,97656176,0,0,2217.17,247205.2125,0,0,0,0,37.58,203.9625,99.805,0,0,0,0.0475,0.0675,0.08,907
1422879500,148,91,2894053.75,7577418.25,3,1251341.75,23550.75,2709792,130010.125,17056173.625,657837.125,5106160.375,0,721620,312891.625,125721.25,66451.875,1132656,711490.75,0,12947,0,1161.875,696.375,0,3441.125,0,56006108.375,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10183.5,1345.333,1742.079,32.04,0,12.75,0,2.5,398008,23467504,99878,0,0,5,97656176,0,0,2217.17,247205.2125,0,0,0,0,37.58,203.9625,99.805,0,0,0,0.0475,0.0675,0.08,907
